level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,9,4,1,4,5,437,442,131,15,96.016655,attributes
2,9,5,0,0,0,83,467,18,23,-1,
3,9,5,1,0,0,83,467,18,23,-1,
4,9,5,1,1,0,83,467,18,23,-1,
5,9,5,1,1,1,83,467,18,23,29.858208,);
2,9,6,0,0,0,81,519,655,49,-1,
3,9,6,1,0,0,81,519,655,49,-1,
4,9,6,1,1,0,81,519,627,23,-1,
5,9,6,1,1,1,81,520,81,17,96.142853,INSERT
5,9,6,1,1,2,179,520,54,17,95.444481,INTO
5,9,6,1,1,3,254,521,88,19,96.511414,receipe
5,9,6,1,1,4,361,520,84,17,94.844833,VALUES
5,9,6,1,1,5,464,519,64,23,59.120705,(‘Jam
5,9,6,1,1,6,548,521,76,15,74.214180,Tarts’
5,9,6,1,1,7,637,519,71,23,82.223068,,180);
4,9,6,1,2,0,81,545,655,23,-1,
5,9,6,1,2,1,81,546,81,17,95.958427,INSERT
5,9,6,1,2,2,179,546,54,17,95.852921,INTO
5,9,6,1,2,3,254,547,88,19,96.403076,receipe
5,9,6,1,2,4,361,546,84,17,93.296860,VALUES
5,9,6,1,2,5,464,545,92,23,85.417992,('Mince
5,9,6,1,2,6,578,547,60,15,75.318283,Pies’
5,9,6,1,2,7,651,545,85,23,75.318283,,1800);
1,10,0,0,0,0,0,0,1008,756,-1,
2,10,1,0,0,0,892,0,116,110,-1,
3,10,1,1,0,0,892,0,116,110,-1,
4,10,1,1,1,0,892,0,116,110,-1,
5,10,1,1,1,1,892,0,116,110,95.000000, 
2,10,2,0,0,0,111,235,210,21,-1,
